,Aramis,SidiHakoma,DenenDora,KadaHadar,Lokochot,Kataboi,TuluBor,LowerLomekwi_MiddleLomekwi,UpperLomekwi_Lokalalei,Kalochoro,UpperBurgi,KBS,Kaitio,Okote,Natoo,Nariokotome
Aepycerotini,57,160,222,77,16,8,9,79,18,12,50,96,15,10,5,3
Alcelaphini,10,95,195,96,9,10,14,102,53,35,119,244,26,91,29,13
Anancus,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antilopini,2,23,7,51,4,3,8,41,9,15,93,129,3,18,18,0
Ardipithecus,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australopithecus,0,53,45,42,0,12,1,0,0,0,0,0,0,0,0,0
Bovini,18,81,104,45,4,0,32,10,11,5,19,104,12,38,9,4
Camelus,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
Ceratotherium,6,18,8,6,0,0,0,10,6,0,8,22,4,3,0,2
Deinotherium,2,21,29,7,1,1,7,5,4,1,20,17,0,0,1,0
Diceros,1,13,4,8,1,0,0,6,2,0,2,10,1,0,0,1
Elephas,0,72,102,16,0,0,19,12,4,5,74,52,2,11,0,10
Equus,0,0,0,0,0,0,0,0,0,8,145,209,3,59,15,10
Eurygnathohippus,64,183,443,62,4,4,21,26,8,7,68,64,3,16,2,0
Giraffa,11,24,49,11,64,0,22,5,3,1,76,123,0,32,1,3
Hippopotamidae,32,109,58,32,25,19,34,25,4,10,134,177,20,63,19,6
Hippotragini,2,23,7,14,0,1,0,14,6,5,11,18,3,1,4,0
Homo,0,0,0,0,0,0,0,0,0,0,51,109,0,31,85,1
Kenyanthropus,0,0,0,0,0,1,0,28,0,0,0,0,0,0,0,0
Kolpochoerus,21,84,74,43,2,0,8,4,2,7,443,251,17,87,10,6
Loxodonta,0,6,17,2,0,1,4,4,0,0,8,1,1,0,0,0
Metridiochoerus,0,0,0,2,1,0,0,3,2,4,131,361,17,137,23,12
Neotragini,25,10,2,4,0,1,0,9,0,1,0,5,0,4,0,0
Notochoerus,0,119,324,47,4,8,59,60,4,11,152,8,2,0,0,0
Nyanzachoerus,50,114,2,0,1,3,5,3,0,0,0,0,0,0,0,0
Paranthropus,0,0,0,0,0,0,0,3,7,0,7,100,3,29,0,0
Reduncini,20,53,450,28,10,7,96,49,85,68,549,438,16,138,25,7
Sivatherium,9,16,22,6,2,1,3,5,20,1,32,47,0,2,1,0
Theropithecus,0,196,309,128,20,8,149,97,10,2,612,207,5,377,0,2
Tragelaphini,664,104,200,74,24,13,39,33,4,13,121,187,36,70,8,8
